relative_time,MagneticRotationSensor
0,326.356925008824
36,326.6345489254729
103,327.4500513649629
169,327.69940831133533
236,328.0573363449274
303,328.30530670433984
369,328.16322890547394
436,328.3503591828985
503,329.1347675467602
569,330.3527904233587
636,331.8263456242061
703,333.87429816162006
769,335.9366247678215
836,339.0064592627825
903,341.79249360849184
969,344.71454452070196
1036,349.5826425539301
1103,356.73123640884404
1169,363.5314538670581
1236,367.51621842715656
1303,369.20472276743936
1369,374.9613970596342
1436,381.1917485092115
1503,386.0182583702745
1569,391.3066139326597
1636,394.11126231073644
1702,395.0153863587597
1769,394.8370539322189
1836,393.65681230718286
1902,391.81172886913447
1969,392.0328720005339
2035,393.1802001398873
2102,394.91076892334956
2169,397.749231932797
2236,401.0067860276521
2303,402.5324793806882
2369,405.7112639856619
2436,409.1537107052844
2502,412.384128919984
2569,417.7852946622514
2636,422.7546012024172
2703,431.8519078301484
2769,444.0723876993444
2836,456.82944681186416
2903,474.67926191365393
2969,495.842915593895
3036,517.0177730453167
3103,544.729910520874
3169,576.3415821449219
3236,606.0543150614942
3303,643.3948637038815
3369,685.3776959020016
3436,722.572183722358
3503,769.85086968674
3569,811.5831199491724
3636,865.1044902398576
3703,926.6863279088648
3769,985.2206884130352
3836,1060.7155941326025
3903,1142.544776536729
3969,1218.2386918088505
4036,1310.8164918183215
4103,1408.3742620312191
4169,1494.0151963470796
4236,1601.0043329726782
4303,1724.4096742245952
4369,1842.6319457451543
4436,1990.5609086913526
4502,2142.04726823842
4569,2264.7403254994056
4636,2333.675382458784
4703,2346.660665104519
4769,2356.520303352472
4836,2364.918902965594
4902,2373.950790466942
4969,2376.9516709474756
5036,2383.522501973461
5103,2395.605440152253
5169,2410.735113580869
5236,2405.5629047699476
5303,2396.0794197956907
5369,2475.739953529112
5436,2527.1771997611295
5502,2499.229150704774
5569,2482.9514396915306
5636,2476.297691831568
5703,2456.2819094193264
5769,2423.537228709446
5836,2367.547430589713
5903,2327.1612189119787
5969,2298.6592658636496
6035,2286.12086019977
6103,2281.426638684264
6169,2280.105262276383
6236,2283.0870105010035
6303,2285.1261256840744
6369,2286.58176077072
6436,2290.0011786845007
6503,2295.044737719093
6569,2299.0362062882905
6636,2302.439535833369
6703,2300.3016118325004
6769,2294.9172406056405
6836,2498.9314464574986
6903,2481.1640449046618
6969,2455.867012961888
7036,2444.674309256087
7102,2437.88070455971
7169,2430.7120941179273
7236,2387.5819286500196
7303,2226.177588173958
7369,2077.3460263828956
7436,1987.456036879867
7503,1908.0803374715867
7569,1832.05192303245
7636,1759.309397732143
7703,1665.5216734968194
7769,1581.7909561061049
7836,1541.433912782693
7903,1455.4189689186999
7969,1378.7146934347895
8036,1309.63496165279
8102,1240.5191074300058
8169,1180.5643710722309
8236,1126.4692428808662
8303,1065.6490392235064
8369,1017.5186801094221
8436,983.8676472945336
8502,951.8144878933581
8569,918.0868515916725
8636,886.5457872824903
8703,846.8926720916033
8769,815.3956035532024
8836,783.2979215799114
8903,751.6947293913203
8969,725.7621307708316
9036,697.7248439613192
9103,675.4664288756716
9169,659.7265197052965
9236,641.2883155980638
9303,622.2353806455786
9369,606.5847270282595
9436,593.6217966781817
9503,580.2166487933039
9569,567.5762448655545
9636,553.967878191014
9703,541.3600244454761
9769,531.3844817939228
9837,520.5059361884116
9903,510.172065834618
9969,500.10336672187697
10037,488.82408258509884
10102,483.38738122650665
10170,478.24132623323686
10236,471.45892777998205
10302,465.3842841609886
10369,459.95961111398714
10436,455.8237087647778
10503,451.4236863455214
10569,445.24410348404575
10636,440.9780290916394
10703,437.63758279544385
10769,435.03267157127095
10836,431.37064468194035
10902,427.9216896712003
10969,425.2514496984672
11036,422.9644541610531
11103,420.2074172142483
11169,418.31921184434253
11236,417.2065447972458
11303,416.16274041990505
11369,415.72807783959286
11436,414.56204160408225
11503,413.2642899047762
11569,412.43167912906694
11636,411.78665874529685
11703,410.347080073154
11769,409.2130428395704
11836,408.1593633338068
11903,407.90545891312786
11969,407.93614251765484
12036,407.56177076460983
12103,407.1014926370469
12169,407.21358103608395
12236,406.6057046061371
12303,406.3957736492267
12369,406.0935929586434
12436,405.62741707983014
12503,404.7010243414506
12569,403.7127892445208
12636,403.246663316449
12703,403.04433173550206
12769,402.81071669863206
12836,401.970916807869
12903,401.807274919634
12969,401.4512518442463
13036,401.43567562719073
13103,401.56196284576055
13169,401.40450786370184
13236,401.67411091309896
13303,400.9323326012631
